path,label,field,source_capture,review_status
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160202_855__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160202_855.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160202_855__1p78.png,1.78,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160202_855.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160208_908__4001.png,4001,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160208_908.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160208_908__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160208_908.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160208_908__1p04.png,1.04,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160208_908.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160211_145__4001.png,4001,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160211_145.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160211_145__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160211_145.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160211_145__1p04.png,1.04,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160211_145.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160220_668__3629.png,3629,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160220_668.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160220_668__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160220_668.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160220_668__1p35.png,1.35,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160220_668.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160223_671__3829.png,3829,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160223_671.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160223_671__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160223_671.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160223_671__1p35.png,1.35,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160223_671.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160225_556__4001.png,4001,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160225_556.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160225_556__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160225_556.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160225_556__1p04.png,1.04,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160225_556.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160231_011__6839.png,6839,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160231_011.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160231_011__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160231_011.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160231_011__1p78.png,1.78,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160231_011.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160236_337__6929.png,6929,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160236_337.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160236_337__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160236_337.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160236_337__2p08.png,2.08,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160236_337.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160329_560__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160329_560.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160329_560__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160329_560.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160329_560__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160329_560.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160331_338__11746.png,11746,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160331_338.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160331_338__19.png,19,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160331_338.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160331_338__17p83.png,17.83,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160331_338.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160336_686__11748.png,11748,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160336_686.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160336_686__19.png,19,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160336_686.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160336_686__17p83.png,17.83,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160336_686.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160340_617__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160340_617.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160347_045__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160347_045.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160347_045__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160347_045.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160347_045__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160347_045.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160349_019__10969.png,10969,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160349_019.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160349_019__22.png,22,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160349_019.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160349_019__22p58.png,22.58,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160349_019.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160352_369__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160352_369.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160352_369__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160352_369.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160352_369__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160352_369.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160356_883__13784.png,13784,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160356_883.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160356_883__21.png,21,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160356_883.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160356_883__19p08.png,19.08,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160356_883.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160402_808__11748.png,11748,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160402_808.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160402_808__19.png,19,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160402_808.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160402_808__17p83.png,17.83,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160402_808.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170509_245__27265.png,27265,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170509_245.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170509_245__46.png,46,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170509_245.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170509_245__282p02.png,282.02,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170509_245.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170511_666__27265.png,27265,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170511_666.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170511_666__46.png,46,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170511_666.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170511_666__282p02.png,282.02,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170511_666.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170515_952__28265.png,28265,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170515_952.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170515_952__46.png,46,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170515_952.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170515_952__282p02.png,282.02,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170515_952.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170525_629__27265.png,27265,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170525_629.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170525_629__46.png,46,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170525_629.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170525_629__282p02.png,282.02,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170525_629.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170538_161__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170538_161.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170538_161__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170538_161.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170538_161__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170538_161.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170553_235__60960.png,60960,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170553_235.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170553_235__79.png,79,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170553_235.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170553_235__586p12.png,586.12,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170553_235.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_170555_507__60960.png,60960,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170555_507.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_170555_507__79.png,79,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170555_507.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_170555_507__586p12.png,586.12,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_170555_507.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173435_418__8590.png,8590,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173435_418.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173435_418__60.png,60,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173435_418.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173435_418__198p35.png,198.35,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173435_418.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173437_328__8590.png,8590,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173437_328.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173437_328__60.png,60,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173437_328.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173437_328__198p35.png,198.35,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173437_328.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173444_003__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173444_003.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173444_003__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173444_003.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173444_003__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173444_003.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173445_943__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173445_943.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173445_943__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173445_943.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173445_943__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173445_943.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173452_062__3694.png,3694,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173452_062.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173452_062__47.png,47,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173452_062.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173452_062__69p11.png,69.11,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173452_062.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173454_203__3694.png,3694,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173454_203.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173454_203__47.png,47,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173454_203.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173454_203__69p11.png,69.11,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173454_203.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173639_188__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173639_188.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173639_188__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173639_188.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173639_188__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173639_188.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173640_329__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173640_329.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173640_329__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173640_329.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_173640_329__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173640_329.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_173641_498__2904.png,2904,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173641_498.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_173641_498__48.png,48,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_173641_498.png,approved
