path,true_char,cnn_read,correct,field,position,panel,verified
_unverified\cap_20260418_160349_019__instability__p2__cnn-dot__gt-22.58__read-20.58.png,,.,,instability,2,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__instability__p3__cnn-5__gt-22.58__read-20.58.png,,5,,instability,3,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__instability__p4__cnn-8__gt-22.58__read-20.58.png,,8,,instability,4,cap_20260418_160349_019.png,False
1\cap_20260418_160356_883__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160356_883.png,True
3\cap_20260418_160356_883__mass__p1__cnn-3__ok.png,3,3,True,mass,1,cap_20260418_160356_883.png,True
7\cap_20260418_160356_883__mass__p2__cnn-7__ok.png,7,7,True,mass,2,cap_20260418_160356_883.png,True
8\cap_20260418_160356_883__mass__p3__cnn-8__ok.png,8,8,True,mass,3,cap_20260418_160356_883.png,True
4\cap_20260418_160356_883__mass__p4__cnn-4__ok.png,4,4,True,mass,4,cap_20260418_160356_883.png,True
_unverified\cap_20260418_160356_883__resistance__p0__cnn-2__gt-21__read-21.png,,2,,resistance,0,cap_20260418_160356_883.png,False
_unverified\cap_20260418_160356_883__resistance__p1__cnn-1__gt-21__read-21.png,,1,,resistance,1,cap_20260418_160356_883.png,False
_unverified\cap_20260418_160356_883__resistance__p2__cnn-5__gt-21__read-21.png,,5,,resistance,2,cap_20260418_160356_883.png,False
_unverified\cap_20260418_160356_883__resistance__p3__cnn-5__gt-21__read-21.png,,5,,resistance,3,cap_20260418_160356_883.png,False
1\cap_20260418_160356_883__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160356_883.png,True
9\cap_20260418_160356_883__instability__p1__cnn-9__ok.png,9,9,True,instability,1,cap_20260418_160356_883.png,True
dot\cap_20260418_160356_883__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160356_883.png,True
0\cap_20260418_160356_883__instability__p3__cnn-0__ok.png,0,0,True,instability,3,cap_20260418_160356_883.png,True
8\cap_20260418_160356_883__instability__p4__cnn-8__ok.png,8,8,True,instability,4,cap_20260418_160356_883.png,True
1\cap_20260418_160402_808__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160402_808.png,True
1\cap_20260418_160402_808__mass__p1__cnn-1__ok.png,1,1,True,mass,1,cap_20260418_160402_808.png,True
7\cap_20260418_160402_808__mass__p2__cnn-7__ok.png,7,7,True,mass,2,cap_20260418_160402_808.png,True
4\cap_20260418_160402_808__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_160402_808.png,True
8\cap_20260418_160402_808__mass__p4__cnn-8__ok.png,8,8,True,mass,4,cap_20260418_160402_808.png,True
_unverified\cap_20260418_160402_808__resistance__p0__cnn-1__gt-19__read-19.png,,1,,resistance,0,cap_20260418_160402_808.png,False
_unverified\cap_20260418_160402_808__resistance__p1__cnn-9__gt-19__read-19.png,,9,,resistance,1,cap_20260418_160402_808.png,False
_unverified\cap_20260418_160402_808__resistance__p2__cnn-5__gt-19__read-19.png,,5,,resistance,2,cap_20260418_160402_808.png,False
_unverified\cap_20260418_160402_808__resistance__p3__cnn-pct__gt-19__read-19.png,,%,,resistance,3,cap_20260418_160402_808.png,False
1\cap_20260418_160402_808__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160402_808.png,True
7\cap_20260418_160402_808__instability__p1__cnn-7__ok.png,7,7,True,instability,1,cap_20260418_160402_808.png,True
dot\cap_20260418_160402_808__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160402_808.png,True
8\cap_20260418_160402_808__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160402_808.png,True
3\cap_20260418_160402_808__instability__p4__cnn-3__ok.png,3,3,True,instability,4,cap_20260418_160402_808.png,True
2\cap_20260418_170509_245__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_170509_245.png,True
7\cap_20260418_170509_245__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_170509_245.png,True
2\cap_20260418_170509_245__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_170509_245.png,True
6\cap_20260418_170509_245__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_170509_245.png,True
5\cap_20260418_170509_245__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_170509_245.png,True
_unverified\cap_20260418_170509_245__resistance__p0__cnn-4__gt-46__read-46.png,,4,,resistance,0,cap_20260418_170509_245.png,False
_unverified\cap_20260418_170509_245__resistance__p1__cnn-6__gt-46__read-46.png,,6,,resistance,1,cap_20260418_170509_245.png,False
_unverified\cap_20260418_170509_245__resistance__p2__cnn-pct__gt-46__read-46.png,,%,,resistance,2,cap_20260418_170509_245.png,False
_unverified\cap_20260418_170509_245__resistance__p3__cnn-pct__gt-46__read-46.png,,%,,resistance,3,cap_20260418_170509_245.png,False
2\cap_20260418_170509_245__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_170509_245.png,True
8\cap_20260418_170509_245__instability__p1__cnn-8__ok.png,8,8,True,instability,1,cap_20260418_170509_245.png,True
2\cap_20260418_170509_245__instability__p2__cnn-2__ok.png,2,2,True,instability,2,cap_20260418_170509_245.png,True
dot\cap_20260418_170509_245__instability__p3__cnn-dot__ok.png,.,.,True,instability,3,cap_20260418_170509_245.png,True
0\cap_20260418_170509_245__instability__p4__cnn-0__ok.png,0,0,True,instability,4,cap_20260418_170509_245.png,True
2\cap_20260418_170509_245__instability__p5__cnn-2__ok.png,2,2,True,instability,5,cap_20260418_170509_245.png,True
2\cap_20260418_170511_666__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_170511_666.png,True
7\cap_20260418_170511_666__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_170511_666.png,True
2\cap_20260418_170511_666__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_170511_666.png,True
6\cap_20260418_170511_666__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_170511_666.png,True
5\cap_20260418_170511_666__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_170511_666.png,True
4\cap_20260418_170511_666__resistance__p0__cnn-4__ok.png,4,4,True,resistance,0,cap_20260418_170511_666.png,True
6\cap_20260418_170511_666__resistance__p1__cnn-6__ok.png,6,6,True,resistance,1,cap_20260418_170511_666.png,True
pct\cap_20260418_170511_666__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_170511_666.png,True
_unverified\cap_20260418_170511_666__instability__p0__cnn-2__gt-282.02__read-28.28.png,,2,,instability,0,cap_20260418_170511_666.png,False
_unverified\cap_20260418_170511_666__instability__p1__cnn-8__gt-282.02__read-28.28.png,,8,,instability,1,cap_20260418_170511_666.png,False
_unverified\cap_20260418_170511_666__instability__p2__cnn-2__gt-282.02__read-28.28.png,,2,,instability,2,cap_20260418_170511_666.png,False
_unverified\cap_20260418_170511_666__instability__p3__cnn-dot__gt-282.02__read-28.28.png,,.,,instability,3,cap_20260418_170511_666.png,False
_unverified\cap_20260418_170511_666__instability__p4__cnn-0__gt-282.02__read-28.28.png,,0,,instability,4,cap_20260418_170511_666.png,False
_unverified\cap_20260418_170511_666__instability__p5__cnn-2__gt-282.02__read-28.28.png,,2,,instability,5,cap_20260418_170511_666.png,False
_unverified\cap_20260418_170515_952__mass__p0__cnn-1__gt-28265__read-1508.png,,1,,mass,0,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__mass__p1__cnn-5__gt-28265__read-1508.png,,5,,mass,1,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__mass__p2__cnn-8__gt-28265__read-1508.png,,8,,mass,2,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__mass__p3__cnn-8__gt-28265__read-1508.png,,8,,mass,3,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__resistance__p0__cnn-3__gt-46__read-51.png,,3,,resistance,0,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__resistance__p1__cnn-pct__gt-46__read-51.png,,%,,resistance,1,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p0__cnn-dot__gt-282.02__read-None.png,,.,,instability,0,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p1__cnn-dot__gt-282.02__read-None.png,,.,,instability,1,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p2__cnn-dot__gt-282.02__read-None.png,,.,,instability,2,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p3__cnn-dot__gt-282.02__read-None.png,,.,,instability,3,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p4__cnn-dot__gt-282.02__read-None.png,,.,,instability,4,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p5__cnn-dot__gt-282.02__read-None.png,,.,,instability,5,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p6__cnn-dot__gt-282.02__read-None.png,,.,,instability,6,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p7__cnn-dot__gt-282.02__read-None.png,,.,,instability,7,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p8__cnn-9__gt-282.02__read-None.png,,9,,instability,8,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p9__cnn-9__gt-282.02__read-None.png,,9,,instability,9,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170515_952__instability__p10__cnn-dot__gt-282.02__read-None.png,,.,,instability,10,cap_20260418_170515_952.png,False
_unverified\cap_20260418_170525_629__mass__p0__cnn-3__gt-27265__read-1.png,,3,,mass,0,cap_20260418_170525_629.png,False
_unverified\cap_20260418_170525_629__mass__p1__cnn-dot__gt-27265__read-1.png,,.,,mass,1,cap_20260418_170525_629.png,False
_unverified\cap_20260418_170525_629__resistance__p0__cnn-dot__gt-46__read-0.png,,.,,resistance,0,cap_20260418_170525_629.png,False
_unverified\cap_20260418_170525_629__resistance__p1__cnn-2__gt-46__read-0.png,,2,,resistance,1,cap_20260418_170525_629.png,False
_unverified\cap_20260418_170525_629__instability__p0__cnn-pct__gt-282.02__read-None.png,,%,,instability,0,cap_20260418_170525_629.png,False
6\cap_20260418_170553_235__mass__p0__cnn-6__ok.png,6,6,True,mass,0,cap_20260418_170553_235.png,True
0\cap_20260418_170553_235__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_170553_235.png,True
9\cap_20260418_170553_235__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_170553_235.png,True
6\cap_20260418_170553_235__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_170553_235.png,True
0\cap_20260418_170553_235__mass__p4__cnn-0__ok.png,0,0,True,mass,4,cap_20260418_170553_235.png,True
7\cap_20260418_170553_235__resistance__p0__cnn-7__ok.png,7,7,True,resistance,0,cap_20260418_170553_235.png,True
9\cap_20260418_170553_235__resistance__p1__cnn-9__ok.png,9,9,True,resistance,1,cap_20260418_170553_235.png,True
pct\cap_20260418_170553_235__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_170553_235.png,True
_unverified\cap_20260418_170553_235__instability__p0__cnn-5__gt-586.12__read-5.86.png,,5,,instability,0,cap_20260418_170553_235.png,False
_unverified\cap_20260418_170553_235__instability__p1__cnn-8__gt-586.12__read-5.86.png,,8,,instability,1,cap_20260418_170553_235.png,False
_unverified\cap_20260418_170553_235__instability__p2__cnn-6__gt-586.12__read-5.86.png,,6,,instability,2,cap_20260418_170553_235.png,False
_unverified\cap_20260418_170553_235__instability__p3__cnn-dot__gt-586.12__read-5.86.png,,.,,instability,3,cap_20260418_170553_235.png,False
_unverified\cap_20260418_170553_235__instability__p4__cnn-1__gt-586.12__read-5.86.png,,1,,instability,4,cap_20260418_170553_235.png,False
_unverified\cap_20260418_170553_235__instability__p5__cnn-2__gt-586.12__read-5.86.png,,2,,instability,5,cap_20260418_170553_235.png,False
_unverified\cap_20260418_170555_507__mass__p0__cnn-8__gt-60960__read-None.png,,8,,mass,0,cap_20260418_170555_507.png,False
_unverified\cap_20260418_170555_507__mass__p1__cnn-0__gt-60960__read-None.png,,0,,mass,1,cap_20260418_170555_507.png,False
_unverified\cap_20260418_170555_507__resistance__p0__cnn-dot__gt-79__read-0.png,,.,,resistance,0,cap_20260418_170555_507.png,False
_unverified\cap_20260418_170555_507__instability__p0__cnn-0__gt-586.12__read-None.png,,0,,instability,0,cap_20260418_170555_507.png,False
8\cap_20260418_173435_418__mass__p0__cnn-8__ok.png,8,8,True,mass,0,cap_20260418_173435_418.png,True
5\cap_20260418_173435_418__mass__p1__cnn-5__ok.png,5,5,True,mass,1,cap_20260418_173435_418.png,True
9\cap_20260418_173435_418__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_173435_418.png,True
0\cap_20260418_173435_418__mass__p3__cnn-0__ok.png,0,0,True,mass,3,cap_20260418_173435_418.png,True
_unverified\cap_20260418_173435_418__resistance__p0__cnn-6__gt-60__read-60.png,,6,,resistance,0,cap_20260418_173435_418.png,False
_unverified\cap_20260418_173435_418__resistance__p1__cnn-0__gt-60__read-60.png,,0,,resistance,1,cap_20260418_173435_418.png,False
_unverified\cap_20260418_173435_418__resistance__p2__cnn-5__gt-60__read-60.png,,5,,resistance,2,cap_20260418_173435_418.png,False
_unverified\cap_20260418_173435_418__resistance__p3__cnn-pct__gt-60__read-60.png,,%,,resistance,3,cap_20260418_173435_418.png,False
1\cap_20260418_173435_418__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_173435_418.png,True
9\cap_20260418_173435_418__instability__p1__cnn-9__ok.png,9,9,True,instability,1,cap_20260418_173435_418.png,True
8\cap_20260418_173435_418__instability__p2__cnn-8__ok.png,8,8,True,instability,2,cap_20260418_173435_418.png,True
dot\cap_20260418_173435_418__instability__p3__cnn-dot__ok.png,.,.,True,instability,3,cap_20260418_173435_418.png,True
3\cap_20260418_173435_418__instability__p4__cnn-3__ok.png,3,3,True,instability,4,cap_20260418_173435_418.png,True
5\cap_20260418_173435_418__instability__p5__cnn-5__ok.png,5,5,True,instability,5,cap_20260418_173435_418.png,True
_unverified\cap_20260418_173437_328__mass__p0__cnn-0__gt-8590__read-None.png,,0,,mass,0,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__mass__p1__cnn-2__gt-8590__read-None.png,,2,,mass,1,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__mass__p2__cnn-dot__gt-8590__read-None.png,,.,,mass,2,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__resistance__p0__cnn-5__gt-60__read-58.png,,5,,resistance,0,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__resistance__p1__cnn-8__gt-60__read-58.png,,8,,resistance,1,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__resistance__p2__cnn-0__gt-60__read-58.png,,0,,resistance,2,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__resistance__p3__cnn-pct__gt-60__read-58.png,,%,,resistance,3,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p0__cnn-5__gt-198.35__read-196.35.png,,5,,instability,0,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p1__cnn-1__gt-198.35__read-196.35.png,,1,,instability,1,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p2__cnn-9__gt-198.35__read-196.35.png,,9,,instability,2,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p3__cnn-8__gt-198.35__read-196.35.png,,8,,instability,3,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p4__cnn-dot__gt-198.35__read-196.35.png,,.,,instability,4,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p5__cnn-3__gt-198.35__read-196.35.png,,3,,instability,5,cap_20260418_173437_328.png,False
_unverified\cap_20260418_173437_328__instability__p6__cnn-5__gt-198.35__read-196.35.png,,5,,instability,6,cap_20260418_173437_328.png,False
3\cap_20260418_173452_062__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_173452_062.png,True
6\cap_20260418_173452_062__mass__p1__cnn-6__ok.png,6,6,True,mass,1,cap_20260418_173452_062.png,True
9\cap_20260418_173452_062__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_173452_062.png,True
4\cap_20260418_173452_062__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_173452_062.png,True
_unverified\cap_20260418_173452_062__resistance__p0__cnn-4__gt-47__read-47.png,,4,,resistance,0,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__resistance__p1__cnn-7__gt-47__read-47.png,,7,,resistance,1,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__resistance__p2__cnn-5__gt-47__read-47.png,,5,,resistance,2,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__resistance__p3__cnn-pct__gt-47__read-47.png,,%,,resistance,3,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__instability__p0__cnn-pct__gt-69.11__read-None.png,,%,,instability,0,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__instability__p1__cnn-dot__gt-69.11__read-None.png,,.,,instability,1,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__instability__p2__cnn-1__gt-69.11__read-None.png,,1,,instability,2,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173452_062__instability__p3__cnn-1__gt-69.11__read-None.png,,1,,instability,3,cap_20260418_173452_062.png,False
_unverified\cap_20260418_173454_203__mass__p0__cnn-4__gt-3694__read-None.png,,4,,mass,0,cap_20260418_173454_203.png,False
_unverified\cap_20260418_173454_203__mass__p1__cnn-dot__gt-3694__read-None.png,,.,,mass,1,cap_20260418_173454_203.png,False
4\cap_20260418_173454_203__resistance__p0__cnn-4__ok.png,4,4,True,resistance,0,cap_20260418_173454_203.png,True
7\cap_20260418_173454_203__resistance__p1__cnn-7__ok.png,7,7,True,resistance,1,cap_20260418_173454_203.png,True
pct\cap_20260418_173454_203__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_173454_203.png,True
_unverified\cap_20260418_173454_203__instability__p0__cnn-1__gt-69.11__read-None.png,,1,,instability,0,cap_20260418_173454_203.png,False
_unverified\cap_20260418_173454_203__instability__p1__cnn-3__gt-69.11__read-None.png,,3,,instability,1,cap_20260418_173454_203.png,False
2\cap_20260418_173641_498__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_173641_498.png,True
9\cap_20260418_173641_498__mass__p1__cnn-9__ok.png,9,9,True,mass,1,cap_20260418_173641_498.png,True
0\cap_20260418_173641_498__mass__p2__cnn-0__ok.png,0,0,True,mass,2,cap_20260418_173641_498.png,True
4\cap_20260418_173641_498__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_173641_498.png,True
4\cap_20260418_173641_498__resistance__p0__cnn-4__ok.png,4,4,True,resistance,0,cap_20260418_173641_498.png,True
8\cap_20260418_173641_498__resistance__p1__cnn-8__ok.png,8,8,True,resistance,1,cap_20260418_173641_498.png,True
pct\cap_20260418_173641_498__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_173641_498.png,True
5\cap_20260418_173641_498__instability__p0__cnn-5__ok.png,5,5,True,instability,0,cap_20260418_173641_498.png,True
4\cap_20260418_173641_498__instability__p1__cnn-4__ok.png,4,4,True,instability,1,cap_20260418_173641_498.png,True
dot\cap_20260418_173641_498__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_173641_498.png,True
4\cap_20260418_173641_498__instability__p3__cnn-4__ok.png,4,4,True,instability,3,cap_20260418_173641_498.png,True
9\cap_20260418_173641_498__instability__p4__cnn-9__ok.png,9,9,True,instability,4,cap_20260418_173641_498.png,True
_unverified\cap_20260418_173643_867__mass__p0__cnn-3__gt-2904__read-99.png,,3,,mass,0,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__mass__p1__cnn-5__gt-2904__read-99.png,,5,,mass,1,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__mass__p2__cnn-8__gt-2904__read-99.png,,8,,mass,2,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__mass__p3__cnn-5__gt-2904__read-99.png,,5,,mass,3,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__mass__p4__cnn-9__gt-2904__read-99.png,,9,,mass,4,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__resistance__p0__cnn-5__gt-48__read-54.png,,5,,resistance,0,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__resistance__p1__cnn-4__gt-48__read-54.png,,4,,resistance,1,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__resistance__p2__cnn-dot__gt-48__read-54.png,,.,,resistance,2,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__resistance__p3__cnn-4__gt-48__read-54.png,,4,,resistance,3,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__resistance__p4__cnn-9__gt-48__read-54.png,,9,,resistance,4,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__instability__p0__cnn-5__gt-54.49__read-5.73.png,,5,,instability,0,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__instability__p1__cnn-7__gt-54.49__read-5.73.png,,7,,instability,1,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__instability__p2__cnn-dot__gt-54.49__read-5.73.png,,.,,instability,2,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173643_867__instability__p3__cnn-3__gt-54.49__read-5.73.png,,3,,instability,3,cap_20260418_173643_867.png,False
_unverified\cap_20260418_173655_211__mass__p0__cnn-pct__gt-3032__read-3032.png,,%,,mass,0,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__mass__p1__cnn-3__gt-3032__read-3032.png,,3,,mass,1,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__mass__p2__cnn-0__gt-3032__read-3032.png,,0,,mass,2,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__mass__p3__cnn-3__gt-3032__read-3032.png,,3,,mass,3,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__mass__p4__cnn-2__gt-3032__read-3032.png,,2,,mass,4,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__resistance__p0__cnn-4__gt-44__read-27.png,,4,,resistance,0,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__resistance__p1__cnn-0__gt-44__read-27.png,,0,,resistance,1,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__instability__p0__cnn-6__gt-53.05__read-55.35.png,,6,,instability,0,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__instability__p1__cnn-7__gt-53.05__read-55.35.png,,7,,instability,1,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__instability__p2__cnn-7__gt-53.05__read-55.35.png,,7,,instability,2,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__instability__p3__cnn-5__gt-53.05__read-55.35.png,,5,,instability,3,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__instability__p4__cnn-3__gt-53.05__read-55.35.png,,3,,instability,4,cap_20260418_173655_211.png,False
_unverified\cap_20260418_173655_211__instability__p5__cnn-dot__gt-53.05__read-55.35.png,,.,,instability,5,cap_20260418_173655_211.png,False
3\cap_20260418_173657_267__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_173657_267.png,True
0\cap_20260418_173657_267__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_173657_267.png,True
3\cap_20260418_173657_267__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_173657_267.png,True
2\cap_20260418_173657_267__mass__p3__cnn-2__ok.png,2,2,True,mass,3,cap_20260418_173657_267.png,True
4\cap_20260418_173657_267__resistance__p0__cnn-4__ok.png,4,4,True,resistance,0,cap_20260418_173657_267.png,True
4\cap_20260418_173657_267__resistance__p1__cnn-4__ok.png,4,4,True,resistance,1,cap_20260418_173657_267.png,True
pct\cap_20260418_173657_267__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_173657_267.png,True
_unverified\cap_20260418_173657_267__instability__p0__cnn-5__gt-53.50__read-53.05.png,,5,,instability,0,cap_20260418_173657_267.png,False
_unverified\cap_20260418_173657_267__instability__p1__cnn-3__gt-53.50__read-53.05.png,,3,,instability,1,cap_20260418_173657_267.png,False
_unverified\cap_20260418_173657_267__instability__p2__cnn-dot__gt-53.50__read-53.05.png,,.,,instability,2,cap_20260418_173657_267.png,False
_unverified\cap_20260418_173657_267__instability__p3__cnn-0__gt-53.50__read-53.05.png,,0,,instability,3,cap_20260418_173657_267.png,False
_unverified\cap_20260418_173657_267__instability__p4__cnn-5__gt-53.50__read-53.05.png,,5,,instability,4,cap_20260418_173657_267.png,False
_unverified\cap_20260418_173701_330__mass__p0__cnn-3__gt-3032__read-None.png,,3,,mass,0,cap_20260418_173701_330.png,False
_unverified\cap_20260418_173701_330__resistance__p0__cnn-3__gt-44__read-0.png,,3,,resistance,0,cap_20260418_173701_330.png,False
_unverified\cap_20260418_173713_096__resistance__p0__cnn-1__gt-56__read-19.png,,1,,resistance,0,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__resistance__p1__cnn-0__gt-56__read-19.png,,0,,resistance,1,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__resistance__p2__cnn-0__gt-56__read-19.png,,0,,resistance,2,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__instability__p0__cnn-dot__gt-59.10__read-None.png,,.,,instability,0,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__instability__p1__cnn-dot__gt-59.10__read-None.png,,.,,instability,1,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__instability__p2__cnn-3__gt-59.10__read-None.png,,3,,instability,2,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__instability__p3__cnn-9__gt-59.10__read-None.png,,9,,instability,3,cap_20260418_173713_096.png,False
_unverified\cap_20260418_173713_096__instability__p4__cnn-dot__gt-59.10__read-None.png,,.,,instability,4,cap_20260418_173713_096.png,False
2\cap_20260418_173715_878__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_173715_878.png,True
6\cap_20260418_173715_878__mass__p1__cnn-6__ok.png,6,6,True,mass,1,cap_20260418_173715_878.png,True
9\cap_20260418_173715_878__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_173715_878.png,True
1\cap_20260418_173715_878__mass__p3__cnn-1__ok.png,1,1,True,mass,3,cap_20260418_173715_878.png,True
_unverified\cap_20260418_173715_878__resistance__p0__cnn-5__gt-56__read-56.png,,5,,resistance,0,cap_20260418_173715_878.png,False
_unverified\cap_20260418_173715_878__resistance__p1__cnn-6__gt-56__read-56.png,,6,,resistance,1,cap_20260418_173715_878.png,False
_unverified\cap_20260418_173715_878__resistance__p2__cnn-5__gt-56__read-56.png,,5,,resistance,2,cap_20260418_173715_878.png,False
_unverified\cap_20260418_173715_878__resistance__p3__cnn-pct__gt-56__read-56.png,,%,,resistance,3,cap_20260418_173715_878.png,False
5\cap_20260418_173715_878__instability__p0__cnn-5__ok.png,5,5,True,instability,0,cap_20260418_173715_878.png,True
9\cap_20260418_173715_878__instability__p1__cnn-9__ok.png,9,9,True,instability,1,cap_20260418_173715_878.png,True
